Bowler,GameNum,Score
9,1,181
9,2,246
9,3,200
9,4,225
9,5,214
9,6,184
9,7,192
9,8,177
9,9,246
9,10,204
9,11,198
9,12,213
9,13,161
9,14,153
9,15,197
9,16,247
9,17,212
9,18,183
9,19,214
9,20,178
9,21,202
9,22,168
9,23,191
9,24,211
9,25,215
9,26,179
9,27,172
9,28,211
9,29,179
9,30,168
9,31,228
9,32,184
9,33,197
9,34,215
9,35,216
9,36,182
9,37,178
9,38,168
9,39,191
9,40,209
9,41,189
9,42,202
9,43,216
9,44,237
9,45,204
9,46,202
9,47,178
9,48,178
9,49,192
9,50,243
9,51,147
9,52,236
9,53,213
9,54,201
9,55,226
9,56,189
11,1,174
11,2,191
11,3,221
11,4,209
11,5,217
11,6,217
11,7,179
11,8,229
11,9,238
11,10,173
11,11,194
11,12,246
11,13,156
11,14,191
11,15,212
11,16,224
11,17,194
11,18,190
11,19,212
11,20,203
11,21,198
11,22,214
11,23,195
11,24,227
11,25,194
11,26,195
11,27,186
11,28,230
11,29,181
11,30,196
11,31,200
11,32,159
11,33,193
11,34,189
11,35,210
11,36,235
11,37,170
11,38,225
11,39,208
11,40,199
11,41,166
11,42,190
11,43,177
11,44,213
11,45,223
11,46,198
11,47,191
11,48,214
11,49,201
11,50,192
11,51,190
11,52,224
11,53,211
11,54,204
11,55,225
11,56,243
14,1,164
14,2,214
14,3,180
14,4,195
14,5,199
14,6,173
14,7,239
14,8,247
14,9,213
14,10,207
14,11,247
14,12,258
14,13,239
14,14,193
14,15,189
14,16,200
14,17,224
14,18,177
14,19,246
14,20,222
14,21,242
14,22,202
14,23,212
14,24,204
14,25,179
14,26,218
14,27,153
14,28,214
14,29,209
14,30,211
14,31,212
14,32,243
14,33,195
14,34,225
14,35,225
14,36,170
14,37,191
14,38,199
14,39,239
14,40,208
14,41,168
14,42,221
14,43,220
14,44,224
14,45,223
14,46,214
14,47,218
14,48,184
14,49,215
14,50,220
14,51,215
14,52,224
14,53,237
14,54,235
14,55,236
14,56,218
